"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
0,0,0,0,500.5,NA,0.5005,999,2497,-24.89
0,0,0,0,500.5,NA,0.5005,999,2538,-24.89
0,0,0,0,500.5,NA,0.5005,999,2539,-24.89
0,0,0,0,500.5,NA,0.5005,999,2540,-24.89
1,25.76,25.76,0,329,-0.5,0.329,999,2579,-8.14
0,0,0,0,500.5,NA,0.5005,999,2580,-24.89
5,81.99,80.17,10.86,549,0.17,0.549,999,2581,12.06
2,40.44,42.01,5.61,276.5,-0.28,0.2765,999,2582,-2.46
0,0,0,0,500.5,NA,0.5005,999,2583,-24.89
1,25.76,25.76,0,193.5,-0.74,0.1935,999,2621,-8.14
4,54.71,69.28,9.07,58,-1.61,0.058,999,2622,-6.21
5,81.99,80.16,10.76,550,0.17,0.55,999,2623,12.06
3,56.96,56.5,7.64,494,0.06,0.494,999,2624,5.05
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2625,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2626,-8.14
5,78.28,80.82,10.71,391,-0.24,0.391,999,2664,8.36
3,28.51,56.62,7.69,1,-3.66,0.001,999,2665,-23.4
6,104.23,91.16,11.81,871,1.11,0.871,999,2666,25.31
2,27.99,42.13,5.7,11,-2.48,0.011,999,2667,-14.91
2,48.16,41.75,5.83,743,1.1,0.743,999,2668,5.26
1,25.76,25.76,0,114,-1.05,0.114,999,2669,-8.14
3,73.92,56.11,7.95,983,2.24,0.983,999,2706,22.01
1,25.76,25.76,0,318,-0.48,0.318,999,2707,-8.14
3,31.35,56.13,7.92,2,-3.13,0.002,999,2708,-20.56
3,73.92,55.96,8.16,986,2.2,0.986,999,2709,22.01
9,111.73,121.53,13.38,243,-0.73,0.243,999,2710,5.78
3,52.32,55.57,8.02,302,-0.41,0.302,999,2711,0.41
1,25.76,25.76,0,755,0.57,0.755,999,2748,-8.14
4,52.52,69.27,9.39,41,-1.78,0.041,999,2749,-8.4
2,51.52,42.34,5.67,998,1.62,0.998,999,2750,8.61
3,31.35,56.13,7.92,2,-3.13,0.002,999,2751,-20.56
4,78.08,68.39,9.42,854,1.03,0.854,999,2752,17.17
2,48.16,41.75,5.83,743,1.1,0.743,999,2753,5.26
2,48.16,41.79,5.72,736.5,1.11,0.7365,999,2754,5.26
2,51.52,41.94,5.78,963,1.66,0.963,999,2790,8.61
2,48.16,42.38,5.69,878.5,1.01,0.8785,999,2791,5.26
1,25.76,25.76,0,755,0.57,0.755,999,2792,-8.14
1,25.76,25.76,0,746,0.62,0.746,999,2793,-8.14
3,52.18,55.95,8.02,297,-0.47,0.297,999,2794,0.27
5,61.27,80.45,10.86,41,-1.77,0.041,999,2795,-8.65
2,48.16,41.79,5.72,736.5,1.11,0.7365,999,2796,5.26
0,0,0,0,500.5,NA,0.5005,999,2797,-24.89
2,51.52,42.1,5.54,961,1.7,0.961,999,2798,8.61
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2800,-8.14
2,51.52,42.34,5.55,971,1.65,0.971,999,2835,8.61
5,74.51,80.05,10.71,295,-0.52,0.295,999,2837,4.59
4,60.61,68.93,9.23,206,-0.9,0.206,999,2838,-0.3
3,52.32,55.57,8.02,302,-0.41,0.302,999,2839,0.41
2,40.44,41.93,5.74,298,-0.26,0.298,999,2840,-2.46
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2841,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2843,-8.14
3,55.68,56.25,7.79,470,-0.07,0.47,999,2877,3.77
3,31.35,56.13,7.92,2,-3.13,0.002,999,2879,-20.56
4,60.61,68.93,9.23,206,-0.9,0.206,999,2880,-0.3
4,60.61,68.93,9.23,206,-0.9,0.206,999,2881,-0.3
3,62.84,55.46,8.11,749,0.91,0.749,999,2882,10.93
5,82.63,80.58,10.79,555,0.19,0.555,999,2883,12.71
3,56.45,56.21,7.84,501,0.03,0.501,999,2884,4.54
2,30.69,42.12,5.77,57,-1.98,0.057,999,2918,-12.21
3,56.45,56.2,7.66,500,0.03,0.5,999,2923,4.54
5,67.93,80.35,10.99,139,-1.13,0.139,999,2924,-2
4,73.08,68.7,9.5,665,0.46,0.665,999,2925,12.17
2,40.44,42.01,5.63,288,-0.28,0.288,999,2926,-2.46
2,43.16,42.21,5.59,549,0.17,0.549,999,2927,0.26
1,25.76,25.76,0,109.5,-1.09,0.1095,999,2928,-8.14
5,71.03,80.31,10.79,201,-0.86,0.201,999,2960,1.1
2,51.52,42.1,5.54,961,1.7,0.961,999,2967,8.61
2,48.16,41.79,5.72,736.5,1.11,0.7365,999,2968,5.26
3,73.92,56.15,7.58,984,2.34,0.984,999,2969,22.01
4,70.74,68.65,9.2,578,0.23,0.578,999,2970,9.82
0,0,0,0,500.5,NA,0.5005,999,2972,-24.89
4,66.86,68.82,9.43,405,-0.21,0.405,999,3002,5.95
4,57.11,68.78,9.65,135,-1.21,0.135,999,3003,-3.81
2,51.52,41.93,5.95,969,1.61,0.969,999,3006,8.61
0,0,0,0,500.5,NA,0.5005,999,3010,-24.89
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3011,-8.14
3,66.2,55.97,7.47,897,1.37,0.897,999,3012,14.29
3,66.2,55.84,7.89,879,1.31,0.879,999,3013,14.29
4,78.11,68.57,8.94,851,1.07,0.851,999,3014,17.2
1,25.76,25.76,0,746,0.62,0.746,999,3046,-8.14
3,55.3,56.29,7.61,473,-0.13,0.473,999,3051,3.39
3,55.3,55.92,7.9,483,-0.08,0.483,999,3052,3.39
3,51.31,55.76,7.96,258,-0.56,0.258,999,3053,-0.6
4,60.23,69,9.32,171,-0.94,0.171,999,3054,-0.68
3,66.2,55.84,7.89,879,1.31,0.879,999,3055,14.29
2,43.16,42.23,5.56,521.5,0.17,0.5215,999,3056,0.26
3,59.02,56.18,7.7,596,0.37,0.596,999,3057,7.11
2,48.16,42.36,5.52,905,1.05,0.905,999,3088,5.26
0,0,0,0,500.5,NA,0.5005,999,3089,-24.89
3,55.68,56.1,7.65,464,-0.05,0.464,999,3091,3.77
1,25.76,25.76,0,927.5,1.59,0.9275,999,3094,-8.14
4,68.04,69.03,9.33,438,-0.11,0.438,999,3095,7.12
3,46.8,56.24,7.56,99,-1.25,0.099,999,3096,-5.11
2,51.52,42.08,5.41,974,1.74,0.974,999,3097,8.61
2,51.52,42.14,5.99,995,1.56,0.995,999,3098,8.61
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3099,-8.14
0,0,0,0,500.5,NA,0.5005,999,3131,-24.89
4,57.11,68.68,9.47,130,-1.22,0.13,999,3133,-3.81
3,63.1,56.29,7.67,846,0.89,0.846,999,3137,11.19
6,86.5,91.74,10.88,333,-0.48,0.333,999,3138,7.58
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3139,-8.14
4,73.85,68.7,9.15,706,0.56,0.706,999,3140,12.94
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3141,-8.14
1,25.76,25.76,0,356.5,-0.46,0.3565,999,3142,-8.14
3,64.8,55.88,7.93,861,1.12,0.861,999,3171,12.89
1,25.76,25.76,0,920.5,1.54,0.9205,999,3173,-8.14
2,26.42,42.16,5.89,4,-2.67,0.004,999,3174,-16.49
2,26.42,42.16,5.89,4,-2.67,0.004,999,3175,-16.49
7,80.5,101.61,12.5,52,-1.69,0.052,999,3176,-7.44
6,86.89,91.67,11.24,334,-0.43,0.334,999,3180,7.96
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3181,-8.14
2,37.35,42.36,5.35,148,-0.94,0.148,999,3182,-5.56
2,51.52,42.1,5.54,961,1.7,0.961,999,3183,8.61
